id;schoolId;schoolType;sex;scorePISAMath;scorePISARead;scorePISAScie;age;scoreKKS;scoreKNS;scoreTMR;scoreKKS_5cat;score5KNS_5cat;scoreTMR_5cat;parEdu;hisei;noPersHous;escs;wealth;income;hedres;cultpos;homepos;studrel;disclima;libuse;ictres;usesch;attcomp;rfsintrp;rfsfumat
2301;124;T;male;330,99;314,99;382,88;17,2;194;58;35;high;high;very low;11;32;4;-0,789;0,000;9,0;0,078;0,311;0,007;2,447;-2,809;3,689;0,318;-1,644;-2,440;0,151;-0,051
2302;124;T;male;318,45;303,03;389,01;17,0;166;44;29;low;low;very low;;49;4;0,099;0,251;10,8;1,049;0,311;0,622;-0,812;-0,287;0,675;2,211;0,885;-0,751;0,416;0,235
2303;124;T;male;479,38;531,03;542,18;17,1;157;55;49;low;high;medium;12;34;3;-0,433;0,251;10,8;1,049;0,311;0,410;-1,702;-0,287;0,285;1,325;0,639;-1,417;0,416;-0,378
2304;137;T;female;474,67;571,73;515,34;17,7;192;45;38;high;medium;low;16;66;4;1,352;1,054;19,5;1,049;0,311;1,312;0,666;1,838;-1,847;2,211;0,563;0,861;-0,292;-0,378
2305;137;T;female;491,77;470,65;467,80;17,8;196;47;40;high;medium;low;11;33;;-0,603;0,251;10,8;1,049;0,311;0,410;0,166;1,838;-0,456;1,325;1,072;0,861;0,416;1,142
2306;137;T;female;515,92;550,55;542,95;17,1;145;43;52;low;low;medium;11;67;4;0,473;0,767;15,8;1,049;0,311;0,841;-0,873;-0,776;-0,049;2,211;0,980;-0,751;-0,078;0,235
2307;137;T;female;586,82;597,40;555,79;17,6;193;56;52;high;high;medium;11;24;8;-0,843;-0,250;7,5;1,049;1,314;0,410;1,381;1,262;-0,456;0,318;-0,097;0,861;0,151;0,235
2308;137;T;male;462,44;472,84;477,19;17,7;204;55;40;high;high;low;11;49;6;-0,093;0,504;13,0;1,049;-0,560;0,622;-0,308;1,838;0,970;1,325;-0,792;0,861;0,416;0,801
2309;137;T;male;488,32;531,02;475,28;17,5;167;35;39;medium;very low;low;16;66;5;1,458;0,767;15,8;1,049;1,314;1,579;-0,308;0,927;-0,864;0,318;0,288;-0,751;1,230;0,613
2310;137;T;male;494,44;485,55;490,04;;;;;;;;12;45;4;-0,220;-0,250;7,5;1,049;1,314;0,206;-2,276;0,642;-0,456;0,318;0,678;-0,108;2,215;2,680
2311;152;T;female;477,81;575,91;544,10;17,5;217;53;50;very high;high;medium;11;33;7;-1,161;-1,116;4,0;-0,599;0,311;-1,003;0,666;0,927;0,675;-2,530;-0,097;-0,751;2,215;-1,690
2312;152;T;female;344,48;357,95;396,87;;;;;;;;12;29;7;-0,566;0,251;10,8;1,049;0,311;0,410;-0,308;0,026;1,321;1,325;-0,378;0,861;0,416;-0,051
2313;152;T;female;486,28;524,46;515,73;17,0;176;42;48;medium;low;medium;12;55;4;-0,178;-1,116;4,0;1,049;1,314;-0,363;-0,308;0,351;0,189;0,318;0,288;0,861;-0,292;-0,378
2314;152;T;female;487,38;480,27;519,18;;;;;;;;11;30;5;-1,241;-1,293;3,5;0,078;-0,560;-1,003;-0,625;1,262;1,133;0,318;0,116;-0,751;1,230;0,511
2315;152;T;female;472,79;514,90;515,15;17,2;208;45;45;high;medium;medium;11;23;3;-1,428;-1,470;3,1;1,049;0,311;-1,003;0,666;0,927;-0,456;-0,782;0,116;-0,108;1,984;0,801
2316;152;T;female;487,38;558,57;567,68;17,8;162;57;36;low;high;very low;11;28;4;-0,737;0,000;9,0;1,049;1,314;0,410;-0,625;0,026;0,451;1,325;-0,792;0,861;0,416;1,142
2317;152;T;female;555,45;618,70;562,12;17,1;180;56;54;medium;high;high;11;23;6;-1,029;-0,722;5,3;0,078;1,314;0,007;0,666;0,927;0,081;-0,782;-1,644;0,861;1,230;-0,816
2318;152;T;male;544,79;553,73;615,41;17,3;176;53;51;medium;high;medium;11;34;5;-1,075;-0,722;5,3;-0,599;-0,560;-0,852;0,666;0,351;0,675;-0,782;0,563;-0,108;-0,292;-0,378
2319;152;T;male;637,64;584,91;680,78;17,7;177;56;52;medium;high;medium;12;53;3;-0,085;-0,494;6,3;1,049;1,314;0,007;1,038;0,927;-0,217;0,318;-1,644;-0,751;-0,078;0,511
